 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|bangalore south(banashankari)|kengeri circle|31130|GANDHINAGAR|Anganwadi|co-ed|kannada|Kengeri Upanagara, Kengeri Post, Kengeri Hobli, Bangalore|Gandhinagar|560060|Behinde G.K.L.P.S Gandhinagar|Green Colour Building & Brown Colour Door||Sheet Building & Green Colour Compound & Black Colour Gate|POINT(77.48024 12.92309)
 bangalore|bangalore south(banashankari)|kengeri circle|31135|RACHANAMADU|Anganwadi|co-ed|kannada|Tataguni Post, Kengeri Hobli, Bangalore|Rachamadu|560062|Compound Inside G.K.L.P.S Rachamadu|White Colour Building And Blue Colour Door|212C|White Colour Compound And Sheet Building|POINT(77.51106 12.86198)
 bangalore|bangalore south(banashankari)|kengeri circle|31136|BUVANESHWARINAGAR|Anganwadi|co-ed|kannada|Doddabasthi Road, 11th Cross, Jnana Bharathi Post, Kengeri Hobli, Bangalore|Bhuvaneshwari Nagar|560056|Near G.K.L.P.S Bhuvaneshwari Nagar|Pink Colour Building|223 D|Brown Colour Shutter Door & Infront Yellow Colour Water Tank|POINT(77.48781 12.94179)
 bangalore|bangalore south(banashankari)|k gollahalli|31139|GANGASANDRA|Anganwadi|co-ed|kannada|K.Gollahalli Post, Kengeri Hobli, S-1|Gangasandra|560060|Opposite Gangasandra Bus Stop|White Colour Building|228 D, 229 D,219|Inside G.K.L.P.S Gangasandra|POINT(77.47076 12.84584)
 bangalore|bangalore south(banashankari)|kengeri circle|31140|KATANAYAKANAPURA|Anganwadi|co-ed|kannada|Vidyapeeta Post, Kengeri Hobli, Bangalore|Katanayakanapura|560060|Near S.S. Faram House And Nursary|Brown Colour Building|224A, 224D|Brown Colour Door|POINT(77.48216 12.87091)
 bangalore|bangalore south(banashankari)|k gollahalli|31144|KANAMINIKE COLONY|Anganwadi|co-ed|kannada|Kumbalgudu Post, Kengeri Hobli, S-1|Kanniminike Colony|560060|Opposite Kanniminike Colony Bus Stop|No Painted Compound|226 M, 226 B, 226 E|Blue Colour Building|POINT(77.42868 12.85821)
 bangalore|bangalore south(banashankari)|k gollahalli|31154|KUMBALAGODU|Anganwadi|co-ed|kannada|Kumbalgudu Post, Kengeri Hobli, S-1|Kumbalgudu|560074|Near Kumbalgudu Bus Stop|White Colour Building|226, 228||POINT(77.44505 12.8791)
 bangalore|bangalore south(banashankari)|k gollahalli|31158|ANCHEPALYA|Anganwadi|co-ed|kannada|Kumbalgudu Post, Kengeri Hobli, S-1|Anchepalya|560060|Near Anchepalya Bus Stop|Blue Colour Building|218 A||POINT(77.45886 12.89017)
 bangalore|bangalore north (yelahanka)|abbigere|34077|M S PALYA 1|Anganwadi|co-ed|kannada|Vidyaranya Pura Post, Chikka Betta Halli|Basava Lingappa Layout|560097|Near Sangam College|No Painted Building|401A, 401N, 266M|0|POINT(77.54 13.09)
 bangalore|bangalore south(banashankari)|kengeri circle|31163|HALAGEVADERAHALLY|Anganwadi|co-ed|kannada|Pattangere Post, Raja Rajeshwari Nagar, Kengeri Hobli, Bangalore|Halagevadera Halli|560098|Oppsoite Mahadeshwara Temple|White Colour Building|225, 225A, 225B, 225K|Green Colour Door|POINT(77.51539 12.92154)
