"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
1455,,"353-C","K R Market","Jigani",38.9,1,4,4,8,,,
1456,,"353-E","K R Market","Hinnakki",29.8,1,4,4,8,,,
1457,141,354,"K R Market","Shettahalli",34,1,6,6,12,,,
1458,,"354-A","K R Market","Marasoor",31.2,1,5,5,10,,,
1459,,"354-C","Kempegowda Bus Stn","Marasoor",32.8,1,5,5,10,,,
1460,142,355,"K R Market","Sri Rama Pura",25.2,1,7,7,14,,,
1461,,"355-A","Kempegowda Bus Stn","Srirama Pura",27.5,1,5,5,10,,,
1462,,"355-B","K R Market","K.Vinayak Nagar",25,1,6,6,12,,,
1463,,"355-D","K.R.Puram","Jigani",39.3,2,9,9,18,,,
1464,,"355-E","Kempegowda Bus Station","Bande Nallasandra",34.7,1,3,3,6,,,
1465,,"355-Q","Kempegowda Bus Stn","Dyavasandra",38.5,1,4,5,9,,,
1466,143,356,"Kempegowda Bus Stn","Chandapura",29,8,48,48,96,,,
1467,,"356-A","Kempegowda Bus Stn","Tattanahalli",38.5,1,5,5,10,,,
1468,,"356-B","K.R.Market","Karapura",34.3,1,5,5,10,,,
1469,," 356-C","Kempegowda Bus Stn","Electronics City Wipro Gate ",25.4,3,24,24,48,,,
1470,,"356-CA","Kempegowda Bus Stn","Wipro ",26,2,8,8,16,,,
1471,,"356-D","Kempegowda Bus Stn","Anantha Nagar",27.9,1,5,5,10,,,
1472,,"356-E","Kempegowda Bus Stn","Heelalige",29.5,1,7,7,14,,,
1473,,"356-F","K R Market","Adu Sonna Hatti",29,1,6,6,12,,,
1474,,"356-H","Kempegowda Bus Stn. ","Surya City(Chandapura) ",31.5,1,4,6,10,,,
1475,,"356-J","Yelahanka 5th Phase","Electronics City",38.8,3,18,18,36,,,
1476,,"356-K","K.R. Market","Neraluru ",29.5,1,4,5,9,,,
1477,,"356-M","Kempegowda Bus Stn","Anekal ",39.5,12,43,44,87,,,
1478,,"356-Z","Chandapura ","Anekal ",11.6,3,29,29,58,,,
1479,144,357,"K R Market","Bandapura",29.6,1,6,6,12,,,
1480,,"357-A","Kempegowda Bus Stn","M. Madiwala",30.6,1,5,5,10,,,
1481,,358,"K R Market","Mayasandra",35,1,5,5,10,,,
1482,,"358-A","Kempegowda Bus Stn","Halehalli ",42,1,4,4,8,,,
1483,145,359,"K R Market","Guddahatti",29.9,1,6,6,12,,,
1484,,"359-A","Kempegowda Bus Stn","Adigondanahalli",37.7,1,4,4,8,,,
1485,146,360,"K R Market","Attibele",31.8,16,70,70,140,,,
1486,,"360-B","Kempegowda Bus Stn","Attibele",35.2,40,140,140,280,,,
1487,,"360-C","K.R. Market","Balluru ",37.6,1,4,5,9,,,
1488,,"360-D","K.R. Market","Manchenahalli ",34,1,6,6,12,,,
1489,,"360-E","K.R. Market","Bidaraguppe ",37.5,1,5,5,10,,,
1490,,"360-F","Shivajinagar Bus Station","Attibele",32.8,1,10,10,20,,,
1491,,"360-G","Shivajinagar Bus Station","Attibele",32.8,1,5,5,10,,,
1492,,"360-H","K.R.Market","Kodlipura",37.8,1,4,4,8,,,
1493,,"360-J","Kempegowda Bus Stn","Handenahalli",41.9,1,5,5,10,,,
1494,,"360-K","Kempegowda Bus Stn","Attibele (Via, J.C. Road) ",35.8,6,25,25,50,,,
1495,,"360-L","Kempegowda Bus Stn","Handenahalli",35.6,1,7,7,14,,,
1496,,"360-M","K R Market","Adigondanahalli",39.8,1,3,5,8,,,
1497,,"360-N","K.R. Market","Narasapura ",40,1,3,3,6,,,
1498,,"360-P","K.R. Market","Sollepura ",38.8,1,3,3,6,,,
1499,,"360-Q","K.R. Market","Dasanapura ",37.1,1,3,3,6,,,
1500,147,361,"K R Market","Sidi Hoskote",33.3,2,11,11,22,,,
1501,,"361-A","K R Market","Soppahalli",33.9,1,6,6,12,,,
1502,,"361-B","K.R. Market","Chikka Hegade",33.9,1,6,"GS",6,,,
1503,,"361-C","K.R. Market","Anekal ",38,26,78,78,156,,,
1504,,"361-K","K.R. Market","Naganayakanahlli ",29,1,3,3,6,,,
1505,148,362,"Shivajinagar","Vijyabank Enclave",16.2,1,6,6,12,,,
1506,,"MP362-B","Begur Vishwapriya Badavane","Ganganagara ",21.6,6,36,"GS",36,,,
1507,,"362-C","Shivajinagar Bus Station","Begur",14.5,8,53,53,106,,,
1508,,"362-F","Vivekanagara Bus Stand","Wipro Gate ",23.8,2,20,"GS",20,,,
1509,149,363,"Shanthinagar bus station","Jn.of Jambusavari Dinne ",14.4,1,14,14,28,,,
1510,150,364,"K R Market","Yelinahalli",13.9,2,15,15,30,,,
1511,,"364-A","Kempegowda Bus Stn","Mico Shramajivi Colony",15.9,3,19,19,38,,,
1512,,"364-AA","K.R. Market","Bilekahalli Veerbhadra Swamy Temple",13,1,7,9,16,,,
1513,,"364-B","Kempegowda Bus Stn","Devara Chikkana Halli",17.8,4,15,15,30,,,
1514,,"364-C","Kempegowda Bus Stn","Vijaya Bank Layout",16.9,2,13,13,26,,,
1515,,"364-D","Vijayanagar","Devara Chikkana Halli",17.5,1,8,8,16,,,
1516,,"364-E","Bhoopasandra","Devara Chikkana Halli",25.2,2,6,6,12,,,
1517,,"364-F","Kempegowda Bus Stn","Nyanappanahalli",19.2,3,16,14,30,,,
1518,,"364-G","Kempegowda Bus Stn","Kodi Chikkanahalli",17.2,2,12,12,24,,,
1519,,"364-H","Kempegowda Bus Stn","BTS Layout",15.8,1,5,5,10,,,
1520,,"364-J","Kempegowda Bus Stn","DUO Hights Layout ",17,2,10,11,21,,,
1521,151,365,"Kempegowda Bus Stn","Bannerghatta Natiional Park",25.1,8,30,34,64,,,
1522,,"365-B","Kempegowda Bus Stn","Sakalavara",24.5,1,7,8,15,,,
1523,,"365-C","Kempegowda Bus Stn","Koppa",29.1,1,5,5,10,,,
1524,,"365-D","Kempegowda Bus Stn","Bilavarada Halli",22.5,12,48,48,96,,,
1525,,"365-E","Kempegowda Bus Stn","Shanubhogana Halli",26,2,10,10,20,,,
1526,,"365-F","Kempegowda Bus Stn","Nesanoor",35.5,1,6,6,12,,,
1527,,"365-J","Kempegowda Bus Stn","Jigani",30.9,5,14,14,28,,,
1528,,"365-K","Kempegowda Bus Stn","Chattakerepalya",21,1,5,5,10,,,
1529,,"365-M","Yelahanka 5th Phase","Banneraghatta National Park",42,2,3,3,6,,,
1530,,"365-N","Kempegowda Bus Stn","Giddenahalli",33.8,2,6,6,12,,,
1531,,"365-P","Kempegowda Bus Stn","Anekal ",41.4,9,23,23,46,,,
1532,,"365-Q","Kempegowda Bus Stn","Dyavasandra",33.5,1,5,5,10,,,
1533,,"365-S","Shanthinagar Bus Station","Bukka Sagara",30,1,5,5,10,,,
1534,,"365-W","Kempegowda Bus Stn","V. Manchenahalli ",33.5,1,4,4,8,,,
1535,152,366,"K R Market","Bannerghatta N Park",21.5,6,35,35,70,,,
1536,,"366-A","K R Market","Devara Chikkana Halli",11.7,6,42,42,84,,,
1537,,"366-B","K R Market","Haragadde",29.7,1,5,5,10,,,
1538,,"366-C","K R Market","Shanubhogana Halli",20.9,2,12,12,24,,,
1539,,"366-D","K R Market","Mahanta Lingapura",27.6,1,5,5,10,,,
1540,,"366-E","K R Market","Jigani",29.6,1,5,6,11,,,
1541,,"366-EA","K.R.Market ","Javaregowdana Doddi ",39.4,1,3,3,6,,,
1542,,"366-F","K R Market","Nesenoor",33.7,1,5,5,10,,,
1543,,"366-G","K R Market","Bilavarada Halli",17.4,9,49,49,98,,,
1544,,"366-H","K.R.Market ","Jigani (Via, Lalbagh) ",27,1,5,5,10,,,
1545,,"366-I","K.R. Market","Mantapa ",22.9,1,8,10,18,,,
1546,,"366-K","K R Market","Uraganadoddi",35.8,1,3,4,7,,,
1547,,"366-L","K R Market","Bukka Sagara",24.8,1,5,5,10,,,
1548,,"366-M","K R Market","Bytarayanapura",22.9,1,4,4,8,,,
1549,,"366-MA","K R Market","Bytarayanapura( Via, JBS ) ",23.9,2,9,8,17,,,
1550,,"366-N","K R Market","Giddenahalli",32.6,1,4,4,8,,,
1551,,"366-P","Meenakshi Layout ","Bannerghatta ",43.6,1,4,"GS",4,,,
1552,,"366-Q","K R Market","Dyavasandra",31.5,2,10,10,20,,,
1553,,"366-R","K R Market","Vaddarapalya",30.1,2,10,10,20,,,
1554,,"366-T","K R Market","Lingapura",34,1,5,5,10,,,
1555,,"366-V","K R Market","Nayanahalli",34,1,5,5,10,,,
1556,,"366-W","K R Market","Vadera Manchenahalli",31,1,5,5,10,,,
1557,,"366-X","K.R.Market","Thattekere ",42.3,1,3,3,6,,,
1558,,"366-Y","Vijayanagar","Bannerghatta National Park",30.8,1,10,10,20,,,
1559,,"366-Z","K.R. Market","Anekal ",39.4,14,43,45,88,,,
1560,153,367,"K R Market","Mele Nellasandra",24,1,6,6,12,,,
1561,,"367-A","K R Market","Gottigere",14.2,1,14,14,28,,,
1562,,"367-B","K R Market","Kembathahlli",17.5,1,6,6,12,,,
1563,,"367-C","K R Market","Chattakerepalya",19.1,2,16,16,32,,,
1564,,"367-D","K R Market","Laximipura",19.8,1,6,6,12,,,
1565,,"367-E","K R Market","Hommadevanahalli",17.7,1,7,7,14,,,
1566,,"367-F","Kempegowda Bus Stn","Pillaganahalli ",20,1,6,7,13,,,
1567,154,368,"Shivajinagar","Bannerghatta N Park",23.5,2,25,25,50,,,
1568,,"368- C","Shivajinagar","Jigani",29.9,1,6,6,12,,,
1569,,"368-D","Shivajinagar Bus Station","Arakere Shanthinikethan Layout",15.2,1,12,"GS",12,,,
1570,,"368-E","Shivajinagar Bus Station","Lakshmi Layout",16.9,2,11,11,22,,,
1571,,"368-F","Shivajinagar Bus Station","Devara Chikkana Halli",19.5,1,7,7,14,,,
1572,155,369,"K R Market","Hulimavu",13.7,3,23,23,46,,,
1573,,"369-A","K.R. Market","Mico Shramajivi Colony",12.9,1,6,6,12,,,
1574,,"369-B","K R Market","Arakere",12.5,2,14,14,28,,,
1575,,"369-C","Kempegowda Bus Stn","Hulimavhu",16.3,5,28,28,56,,,
1576,,"369-D","Kempegowda Bus Stn","Shantiniketan Layout",16,3,47,47,94,,,
1577,,"369-E","K R Market","Chikkakammanahalli",15.1,3,48,48,96,,,
1578,,"369-F","Kempegowda Bus Stn","AECS Dental College (Hulimavu Tank)",17.8,1,7,7,14,,,
1579,,"369-G","Kempegowda Bus Stn","Chikkakammanahalli",18.2,2,15,15,30,,,
1580,,"369-H","Kempegowda Bus Stn","Mico Shramajivi Colony",16.9,2,16,16,32,,,
1581,,"369-J","Hulimavu","Sunkadakatte",28.9,1,6,6,12,,,
1582,,"369-K","Hulimavu","Yeshwanthpura Regulated Market",24.8,1,6,6,12,,,
1583,,"369-L","K R Market","Yelenahalli",16.5,2,11,14,25,,,
1584,,"369-M","Hulimavu","Vijayanagara ",21.8,1,11,11,22,,,
1585,,"369-N","K.R.Market ","Yelenahalli",15.8,2,16,16,32,,,
1586,,"369-P","K.R.Market","Begur",21.2,1,5,5,10,,,
1587,156,370,"K R Market","Shivanahalli",33,1,6,6,12,,,
1588,,"370-B/1","K.R.Market","Koratagere Doddi",33.7,1,6,"GS",6,,,
1589,,"370-A","K.R. Market","Jaipura Doddi",34.6,1,4,4,8,,,
1590,,"370-E","Kempegowda Bus Stn","Ragihalli ",36.2,1,4,4,8,,,
1591,,"371-A","K R Market","Kaggalipura",32.9,1,6,6,12,,,
1592,,"371-D","Kempegowda Bus Stn","Kaggalipura",35.2,1,5,5,10,,,
1593,157,372,"K R Market","Indlawadi",37.8,1,5,5,10,,,
1594,,"372-A","K.R. Market","Chikkanahalli ",40.4,1,4,4,8,,,
1595,,"372-B","K R Market","Konasandra",33,1,6,6,12,,,
1596,,"372-E","K R Market","Chinnaiahnapalya",37.5,1,5,5,10,,,
1597,,"372-F","Kempegowda Bus Stn","Nisarga Layout",28.8,1,5,5,10,,,
1598,,"372-G","K.R.Market ","Kada Jakkasandra ",36.4,1,3,3,6,,,
1599,,"372-M","K.R.Market","Thammanayakanahalli",41.5,1,4,4,8,,,
1600,158,373,"Mangammanapalya Doddamma Temple ","Kenchenahalli Gate",24,1,7,7,14,,,
1601,,"373-B","Banashankari","Neeladri Park ",19.1,1,2,7,9,,,
1602,,"373-C","Madivala","Kengeri Sattellite Town",24.5,1,6,6,12,,,
1603,,"373-D","Mangammanapalya ","Hullalu Satt.Town",30.5,1,2,2,4,,,
1604,,"373-E","Koramangala","Chikkalasandra Sarige Nagar",18.5,1,8,8,16,,,
1605,,"373-F","Srinagara ","Electronics City",18.5,1,5,5,10,,,
1606,,"373-H/1","Uttarahall","Koramangala ",14.2,1,10,"GS",10,,,
1607,,"373-J","Shanthinagar bus station","Gonipura ",33.7,1,5,5,10,,,
1608,,"373-M","Uttarahall","Attibele (Mini)",34.5,6,15,15,30,,,
1609,159,"374-A","Jayanagar Bus Station","Jayanagaran Bus Station",27.5,2,19,19,38,,,
1610,,"374-B","Uttarahall","B.National Park",22.9,1,5,5,10,,,
1611,,"374-D","Banashankari","Jigani",21,1,6,6,12,,,
1612,,"374-E","Chikkalasandra Village","Chikkalasandra Village",18.5,1,5,5,10,,,
1613,,"374-F","Chikkalasandra Village","Chikkalasandra Village",18.5,1,5,5,10,,,
1614,,"374-M","Kengeri","Nelamangala",37,2,10,10,20,,,
1615,,"374-MA","Kengeri ","Nelamangala",36,1,4,4,8,,,
1616,,"374-P","BGS Hospital(SJBIT)","Srinagara",13.9,2,15,15,30,,,
1617,160,375,"Byrasandra New Bus Stand","Kengeri Satt.Town Shirke",19,3,15,15,30,,,
1618,,"375-B","Shanthinagar Bus Station","Kengeri Housing B.Qurts.",23.7,4,20,20,40,,,
1619,161,376,"Huskur","Kalyanagar",35.3,2,10,10,20,,,
1620,162,377,"Kaggalipura","Nelamangala",54.5,2,7,7,14,,,
1621,,"377-A","Nelamangala ","Bidadi",42.1,2,5,5,10,,,
1622,163,378,"Kemgeri Bus Station","Electronic City ",34.4,14,49,51,100,,,
1623,164,380,"Kempegowda Bus Stn","Kolatoor",35.2,2,9,9,18,,,
1624,,"380-B","K.R.Market","Attivatta ",37.6,2,6,6,12,,,
1625,,"380-C","K R Market","Haralur",35.5,2,10,10,20,,,
1626,,"380-E","K R Market","Solur",37,2,9,9,18,,,
1627,,"380-F","K R Market","Deva Shetty Halli",37.8,2,5,5,10,,,
1628,,"380-G","K.R. Market","Dandupalya",31,1,4,4,8,,,
1629,,"380-H","K.R. Market","Jadigenahalli ",35.4,1,4,4,8,,,
1630,,"380-M","Kempegowda Bus Stn","Anupanahalli ",52.1,1,3,3,6,,,
1631,,"380-N","K.R.Market ","Ummalu ",46.7,1,3,3,6,,,
1632,165,381,"Kempegowda Bus Stn","Thimmasandra",36.2,1,6,6,12,,,
1633,,"381A","Kempegowda Bus Stn","Lakkondanahalli",35.2,1,5,5,10,,,
1634,,"381-B","Kempegowda Bus Stn","Kammasandra",38.6,1,4,4,8,,,
1635,,"381-C","Hoskote","Vijayapura ",32,3,9,9,18,,,
1636,,"381-D","K R Market","E Mustandra",36.7,1,9,9,18,,,
1637,,"381-E","Kempegowda Bus Stn","Kambali pura",38.6,1,5,5,10,,,
1638,,"381-F","K.R. Market","Sonnahalli Pura ",36.7,1,4,5,9,,,
1639,,"381-G","K.R. Market","Vabasandra ",35.5,1,4,5,9,,,
1640,,"381-H","K.R. Market","Bavapura ",52.1,1,3,3,6,,,
1641,166,382,"K R Market","Kallahalli",31.4,1,5,5,10,,,
1642,,"382-A","K R Market","Shivanapura ",46.4,2,8,8,16,,,
1643,,"382-B","K.R.Market","Nidughatta ",39,1,3,4,7,,,
1644,,"382-C","K.R.Market","Dodda Nallala ",43.5,1,3,2,5,,,
1645,,"382-M","Kempegowda Bus Stn","Gangapura ",48,1,6,6,12,,,
1646,167,383,"K R Market","Vagata",37.5,1,5,5,10,,,
1647,,"383-A","Kempegowda Bus Stn","Poojena Agrahara",39,1,5,5,10,,,
1648,,"383-B","K R Market","Hanachanahalli",39.9,1,4,4,8,,,
1649,,"383-C","K.R. Market","Kattigenahallil",43,1,6,6,12,,,
1650,,"383-D","Kempegowda Bus Stn","Makanahalli",41.6,1,3,3,6,,,
1651,168,"398-A","Shanthinagar bus station","Shanthinagar bus station",55.9,1,3,3,6,,,
1652,,"398-B","Chandapura ","Kagglipura ",30.2,2,10,10,20,,,
1653,,"398-BA","Kengeri Bus Station","Jigani",49.3,2,5,6,11,,,
1654,,"398-H","Jigani","Hosakote",65,3,9,9,18,,,
1655,169,399,"Hoskote","Electonic city",44.1,2,12,12,24,,,
1656,,"399-B","St. Jhon Hospital ","St. Jhon Hospital ",60,1,3,3,6,,,
1657,,"399-C","Anekal","Chikkathirupathi",34.5,3,10,12,22,,,
1658,,"399-D","Electronic City ","Attibele ",31.5,1,4,4,8,,,
1659,,"399-E","Jigani","Chikkathirupathi",39.2,2,7,7,14,,,
1660,,"399-F","Anekal","Hosakote",55,2,4,4,8,,,
1661,170,400,"K.R.Puram","Hebbal ",12.8,1,8,8,16,,,
1662,,"400-A","K.R.Puram","Basava Nagar",11.8,2,16,16,32,,,
1663,,"400-B","HA.L. Main Gate","K.R.Puram Railway Station ",8.1,2,21,24,45,,,
1664,,"400-C","K.R. Puram ","Yelahanka ",22.4,2,5,5,10,,,
1665,,"400-D","Bhuvanagiri ","Bhuvanagiri ",37.8,1,5,"GS",5,,,
1666,,"400-G","Byappanahalli New Bus Stand ","HSR Layout BDA Complex",13.5,2,28,"GS",28,,,
1667,171,401,"YHK ","Yeshwanthpur",18.8,12,72,72,144,,,
1668,,"401-A","Yelahnaka ","Magadi Road Tolegate ",28.2,3,15,15,30,,,
1669,,"401-AA","Yelahnaka ","Chikkabanawara ",21.8,1,8,"GS",8,,,
1670,,"401-AB","Madanayakanahalli","Yelahanka  NES Office ",24.5,1,10,"GS",10,,,
1671,,"401-AC","Yeshwanthapura Bus Station","Devanahalli ",36.4,1,6,"GS",6,,,
1672,,"401-B","YHK","Hampinagara ",27.5,13,56,58,114,,,
1673,,"401-BA","Yelahanka ","Chikkalasandra Sarige Nagar",42.5,2,4,4,8,,,
1674,,"401-D","NES Office","Yeshwanthpur",16.5,1,9,9,18,,,
1675,,"401-E","Chandra Layout","Yelahanka ",26.5,2,8,8,16,,,
1676,,"401-G","YST 5th Phase","Hampinagara ",25.5,2,12,12,24,,,
1677,,"401-H","Hampinagara ","Yelahanka ",27.2,2,16,"GS",16,,,
1678,,"401-GV","Hebbala Ring Road","Global Village ",25,1,6,"GS",6,,,
1679,,"401-J","Yeshwanthapura Bus Station","Hunusur ",40.2,1,4,4,8,,,
1680,,"401-JA","Yeshwanthapura Bus Station","Razak Palya ",33.4,1,4,4,8,,,
1681,,"401-JC","Yeshwanthapura Bus Station","Band kodigehalli ",33.2,1,4,4,8,,,
1682,,"401-K","Kengeri","Yelahanka",37.5,30,126,126,252,,,
1683,,"SSAC 401-K","Kengeri","Yelahanka",37.5,4,,,,,,
1684,,"401-KA","Yelahanka","Ramasandra ",34,1,4,4,8,,,
1685,,"401-KB","Yeshwanthapura Bus Station","Kengeri Bus Station",19.7,2,20,"GS",20,,,
1686,,"401-L","Kaggalipura","Yeshwanthpura ",40,1,5,5,10,,,
1687,,"401-M","Yeshwanthpur Bus Station","Kengeri",19.5,19,96,98,194,,,
1688,,"401-N","Hampinagara ","Yelahanka (Via Singapura)",29.3,1,6,6,12,,,
1689,,"401-P","Kengeri BM Layout","Muthyalnagara Temple ",25.5,1,4,4,8,,,
1690,,"401-Q","Yeshwanthpura Bus Station","MCTC Bus stand",28.7,3,16,16,32,,,
1691,,"401-R","BEML 5th Stage","Yelahanka",34,16,40,40,80,,,
1692,,"401-RA","Yelahanka ","Srinivasapura ",36,2,3,3,6,,,
1693,,"401-RB","BHEL Layout Marmma Temple","Yelahanka ",34.5,1,4,4,8,,,
1694,,"401-S","Yeshwanthapura ","Chikkalasandra Village",21.6,1,8,"GS",8,,,
1695,,"401-T","Yelahanka ","Mathahalli ",37.3,1,6,"GS",6,,,
1696,,"401-V","Mahalakshmi Layout ","YST 5th Phase ",21,1,6,7,13,,,
1697,,"401-W","Peenya IInd Stage ","Yelahanka Satellite Town 5th Phase",17.1,2,19,7,26,,,
1698,,"401-Y","YPR Reg. Market ","Meesaganahalli ",32.3,1,3,4,7,,,
1699,,"401-X","Banashankari Bus Station","Bidadi",32,1,4,5,9,,,
1700,,"491-Z","Yeshwanthapura Bus Station","Bidadi",38,2,6,6,12,,,
1701,172,402,"K R Market","YST 5th Phase",22.5,3,20,20,40,,,
1702,,"402-A","K R Market","Attur",23.4,1,7,7,14,,,
1703,,"402-B","Kempegowda Bus Stn","YST 5th Phase",20.2,12,58,58,116,,,
1704,,"402-C","Kempegowda Bus Stn","Attur",19.1,1,7,7,14,,,
1705,,"402-D","Kempegowda Bus Stn","YST 5th Phase",19.5,6,48,48,96,,,
1706,,"402-E","K R Market","YST 5th Phase",22.1,1,5,5,10,,,
1707,,"402-G","YHK. Satt. Town 5th Phase","ISRO Layout",33.8,2,10,"GS",14,,,
1708,,"402-H","YHK. Satt. Town 5th Phase","J.P. Nagara 6th Phase ",32,1,4,4,8,,,
1709,,"402-M","YHK. Satt. Town 5th Phase","Chikkalasandra Village",34.7,1,3,3,6,,,
1710,173,"403-A","Kempegowda Bus Stn","KHB Quarters",21.1,2,15,15,30,,,
1711,,"403-B","Kempegowda Bus Stn","KHB Quarters (Kengeri)",17.3,1,6,6,12,,,
1712,,"403-C","K R Market","Kengeri (Via Dubasipalya)",17,1,7,7,14,,,
1713,174,404,"Yelahanka Satt Town","K R Puram",26.4,1,5,5,10,,,
1714,,"404-C","Shivajinagar","Attur",19.5,2,13,13,26,,,
1715,,"404-D","Shivajinagar","YST 5th Phase ",18.9,4,21,21,42,,,
1716,,"404-E","Shivajinagar","YST 4th Phase",19.5,2,14,14,28,,,
1717,,"404-J","Shanthinagar bus station","YHK Satt. Town 5th Phase ",22.9,2,7,7,14,,,
1718,175,405,"Kempegowda Bus Stn","Kempegowda B S (R R)",35,3,20,20,40,,,
1719,,"SS AC 405","Kempegowda Bus Stn","Kempegowda B S (R R)",34,4,24,"GS",24,,,
1720,,"SS AC 405-A","Kempegowda Bus Stn","Kempegowda B S (R R)",34,4,24,"GS",24,,,
1721,,"405-M","Kempegowda Bus Stn","Ancnchipura ",41.3,1,5,5,10,,,
1722,176,406,"Kempegowda Bus Stn","Nelamangala",55.4,1,6,6,12,,,
1723,177,407,"Yelahanka Satt Town","Nelamangala",34.5,4,12,12,24,,,
1724,,"407-A","Shivajinagar Bus Station","Hesaraghatta Village",36.9,1,,,0,,,
1725,,"407-B","Yelahanka ","Yelahanka ",56.4,1,2,2,4,,,
1726,,"407-C","Yelahanka","Yelahanka",56.4,1,3,3,6,,,
1727,,"407-D","Yeshwanthapura ","Yeshwanthapura ",64.5,1,2,"GS",2,,,
1728,178,409,"Hoskote","Nelamangala",72.6,1,2,3,5,,,
1729,,"409-A","Hoskote","Nelamangala",81.3,1,2,3,5,,,
1730,179,410,"Jalahalli Cross","Bommanahalli",30.3,13,80,80,160,,,
1731,,"410-A","Sunkadakatte","Gangamma Circle",11,1,8,8,16,,,
1732,,"410-B","Nelamangala ","Banashankari",37,1,4,4,8,,,
1733,,"410-C","Vijayanagar","Central Silk Board ",16.4,4,60,60,120,,,
1734,,"410-D","Bharath Nagara","Electronic City ",36.1,1,6,"GS",6,,,
1735,180,"411-A","Jayanagar Bus Station","Basava Nagar",16.9,2,15,15,30,,,
1736,,"411-B","K.R.Puram","Bannerghatta National Park",39.3,1,9,9,18,,,
1737,,"411-C","Banashankari","Varthur",28.2,1,5,5,10,,,
1738,,"411-D","Marath halli Bridge","Chandapura",25.4,1,20,20,40,,,
1739,,"411-E","Banashankari","Vydehi Hospital",32.5,1,5,5,10,,,
1740,,"411-G","Kuvempunagara(BTM Layout)","Kadugodi",25.5,2,16,"GS",16,,,
1741,,"411-J","Bannerghatta National Park","Nadavathi",49.6,1,3,3,6,,,
1742,,412,"ISRO Layout","Hennur",20.5,7,,,,,,
1743,,414,"M.C.T.C. Bus Stand ","K.Narayanapura",26.1,2,6,10,16,,,
1744,181,415,"Shivajinagar Bus Station","V Nagenahalli",10.1,5,30,30,60,,,
1745,182,"415-A","Kempegowda Bus Stn","HBR IInd stage BDA Park",13,2,30,30,60,,,
1746,,"415-B","Kempegowda Bus Stn","Viswanathanagenahalli",13.3,4,28,33,61,,,
1747,,"415-C","Shivajinagara Bus Station","H.B.R. BDA Layout 2nd Phase ",11,1,25,25,50,,,
1748,,"415-D","K R Market","HBR IInd stage BDA Park",14.6,1,10,10,20,,,
1749,,"415-E","K R Market","Amar Jyothi Badavane ",18,1,10,10,20,,,
1750,,"415-F","K.R. Market","Veshwanath Nagenahalli ",13.1,2,18,9,27,,,
1751,,"415-G","Kempegowda Bus Station","Dr. Ambedkar Medical College",13,1,13,"GS",13,,,
1752,,"415-H","Kempegowda Bus Station","Amar Jyothi Badavane ",16.6,1,12,"GS",12,,,
1753,,"415-S","Jayanagar Bus Station","Amar Jyothi Badavane ",22,2,19,19,38,,,
1754,,500,"Banashankari Bus Station","Banashankari Bus Station",76,9,18,18,36,,,
1755,183,"500-A(C-1)","Banashankari Bus Station","Hebbala Ring Road ",35,36,130,130,260,,,
1756,,"500-AA","K.R.Puram Rly Stn. ","YHK Satt. Town 5th Phase ",23.2,4,24,24,48,,,
1757,,"500-B","Yeshwanthpur ","Marathhalli Bridge ",30.2,4,150,150,300,,,
1758,,"500-C","K.R. Puram ","Central Silk Board ",24.1,13,65,65,130,,,
1759,,"500-D","Hebbala","Central Silk Board ",30.2,36,110,130,240,,,
,,"500-DA","YST 5th Phase","Electonic city",,2,,,,,,
,,"500-DB","Hebbala Ring Road","Hope Farm ",,4,,,,,,
,,"500-E","Hope Farm ","BTM Layout",19.6,1,4,4,8,,,
1760,,"500-F","Central Silk Board","Kadugodi",23.5,12,60,60,120,,,
1761,,"500-G","Central Silk Board","Central Silk Board ",76.5,2,2,2,4,,,
1762,,"500-H","K.R.Puram","Chandapura",40.1,2,6,6,12,,,
1763,,"500-J","Yeshwanthpura Reg. Market","Chandapura",30,1,7,7,14,,,
1764,,"500-L","Banashankari Bus station","Tin Factory",24.8,4,16,16,32,,,
1765,,"500-M","M.C.T.C. Bus Stand ","Marathhalli Bridge ",27.1,1,6,"GS",6,,,
1766,,"500-Q","K.R. Puram ","Goraguntepalya ",22,2,12,"GS",12,,,
1767,,"500-QA","Hebbala Ringroad","Goraguntepalya ",10.8,2,12,12,24,,,
1768,,"500-R","Hebbala Ringroad","Gunjur ",22.3,1,10,10,20,,,
1769,,"500-T","Hebbala Ringroad","Marathahalli Ring Road",18.8,5,35,35,70,,,
1770,,"500-TA","Hebbala Ringroad","Bhoganahalli ",22.5,1,31,37,68,,,
1771,,"500-W","ISRO Layout","I.T.P.L.",29,4,12,12,24,,,
1772,,501,"Banashankari","Banashankari Bus Station",76,6,12,"GS",12,,,
1773,184,"501-A(C-3)","Banashankari Bus Station","Hebbala Ring Road ",38,20,34,34,68,,,
1774,,"MP 501-A","Banashankari Bus Station","Hebbala Ring Road ",38,4,11,11,22,,,
1775,,"501-B","Hebbala Ringroad","Hebbala Ring Road ",76,4,8,8,16,,,
1776,,"501-BA","Hebbala Ringroad","Hebbala Ring Road ",76,3,14,14,28,,,
1777,,"501-C","Kengeri ","Kengeri ",24,12,60,60,120,,,
1779,,"501-F","Kottigepalya","Kottigepalya",16.1,2,12,12,24,,,
1780,,"501-G","Agara","Agara ",76.5,1,4,4,8,,,
